ku;th;suc
;0.698763;2.873958
;0.697527;2.621875
;0.696290;2.369792
;0.695054;2.117708
;0.693817;1.865625
;0.692581;1.613542
;0.691344;1.361458
;0.690107;1.109375
;0.688871;0.857292
;0.687634;0.605208
;0.686398;0.353125
;0.685161;0.101042
;0.683925;-0.151042
;0.682688;-0.403125
;0.681451;-0.655208
;0.680215;-0.907292
;0.678978;-1.159375
;0.677742;-1.411458
;0.676505;-1.663542
;0.675269;-1.915625
;0.674032;-2.167708
;0.672795;-2.419792
;0.671559;-2.671875
;0.670322;-2.923958
;0.669606;-3.050000
;0.667416;-3.262500
;0.665308;-3.725000
;0.663322;-4.212500
;0.661337;-4.762500
;0.659352;-4.850000
;0.657469;-5.025000
;0.655565;-5.712500
;0.653662;-6.362500
;0.651738;-7.062500
;0.649916;-7.625000
;0.648054;-8.062500
;0.646212;-8.050000
;0.644390;-8.337500
;0.642589;-8.975000
;0.640849;-9.375000
;0.639109;-9.925000
;0.637390;-9.762500
;0.635548;-9.875000
;0.633645;-10.625000
;0.631782;-11.175000
;0.629756;-11.787500
;0.627811;-12.225000
;0.625887;-12.687500
;0.623943;-13.150000
;0.621917;-13.637500
;0.619993;-14.212500
;0.618110;-14.787500
;0.616186;-15.437500
;0.614241;-16.112500
;0.612399;-16.625000
;0.610516;-17.050000
;0.608654;-17.512500
;0.606730;-18.075000
;0.604908;-18.700000
;0.603066;-19.312500
;0.601204;-19.962500
;0.599382;-20.587500
;0.597560;-21.225000
;0.595841;-21.800000
;0.594101;-22.375000
;0.592321;-23.037500
;0.590499;-23.650000
;0.588719;-24.237500
;0.586897;-24.837500
;0.585014;-25.462500
;0.583151;-26.075000
;0.581268;-26.700000
;0.579365;-27.425000
;0.577543;-28.212500
;0.575660;-28.887500
;0.573757;-29.537500
;0.571894;-30.337500
;0.570052;-31.100000
;0.568272;-31.762500
;0.566470;-32.437500
;0.564649;-33.162500
;0.562827;-33.887500
;0.560965;-34.662500
;0.559184;-35.437500
;0.557424;-36.162500
;0.555623;-36.862500
;0.553862;-37.537500
;0.552082;-38.237500
;0.550342;-38.975000
;0.548582;-39.700000
;0.546822;-40.375000
;0.545061;-41.075000
;0.543281;-41.800000
;0.541459;-42.537500
;0.539658;-43.325000
;0.537898;-44.125000
;0.536056;-44.912500
;0.534255;-45.712500
;0.532413;-46.525000
;0.530611;-47.312500
;0.528810;-48.062500
;0.526989;-48.787500
;0.525208;-49.550000
;0.523407;-50.375000
;0.521585;-51.237500
;0.519784;-52.087500
;0.518003;-52.975000
;0.516182;-53.912500
;0.514360;-54.850000
;0.512539;-55.787500
;0.510717;-56.775000
0.629546;0.508895;-57.812500
0.562095;0.507074;-58.850000
0.512833;0.505293;-59.925000
0.496290;0.503512;-60.987500
0.493005;0.501629;-62.112500
0.502885;0.499767;-63.350000
0.555779;0.497966;-64.575000
0.568411;0.496124;-65.800000
0.518727;0.494323;-67.050000
0.518727;0.492521;-68.350000
0.512833;0.490741;-69.700000
0.536614;0.488940;-71.062500
0.479176;0.487220;-72.437500
0.460853;0.485460;-73.837500
0.442097;0.483720;-75.300000
0.427361;0.481940;-76.775000
0.381600;0.480261;-78.250000
0.380203;0.478501;-79.775000
0.385418;0.476762;-81.337500
0.371815;0.475083;-82.937500
0.375783;0.473343;-84.575000
0.341620;0.471604;-86.275000
0.297089;0.469884;-88.025000
0.293619;0.468083;-89.837500
0.276117;0.466262;-91.737500
0.242440;0.464522;-93.625000
0.255112;0.462721;-95.587500
0.259364;0.460920;-97.625000
0.256702;0.459078;-99.650000
0.256702;0.457236;-101.725000
0.254206;0.455353;-103.825000
0.243823;0.453490;-105.950000
0.241853;0.451587;-108.150000
0.236615;0.449642;-110.412500
0.227710;0.447718;-112.737500
0.215074;0.445876;-115.100000
0.209414;0.444034;-117.500000
0.187492;0.442233;-119.912500
0.176839;0.440432;-122.325000
0.170944;0.438651;-124.800000
0.165430;0.436870;-127.312500
0.160260;0.435090;-129.850000
0.150576;0.433330;-132.412500
0.143473;0.431569;-134.950000
0.129890;0.429871;-137.437500
0.124827;0.428151;-139.937500
0.124226;0.426412;-142.462500
0.114592;0.424754;-144.962500
0.113873;0.423014;-147.525000
0.108824;0.421213;-150.287500
0.100889;0.419391;-153.150000
0.097152;0.417570;-155.925000
0.097529;0.415707;-158.587500
0.097462;0.413722;-161.375000
0.088903;0.411839;-164.412500
0.087001;0.409956;-167.437500
0.082039;0.408114;-170.250000
0.078897;0.406333;-172.962500
0.078595;0.404532;-175.675000
0.074816;0.402731;-178.375000
0.072381;0.400930;-181.137500
0.069302;0.399149;-184.025000
0.064790;0.397409;-186.900000
0.061413;0.395710;-189.737500
0.059187;0.394032;-192.612500
0.058025;0.392313;-195.500000
0.052128;0.390696;-198.350000
0.052988;0.388997;-201.162500
0.049018;0.387380;-203.937500
0.047794;0.385743;-206.725000
0.046506;0.384085;-209.625000
0.043090;0.382509;-212.450000
0.042985;0.380892;-215.212500
0.040526;0.379316;-218.000000
0.039636;0.377719;-220.850000
0.039136;0.376062;-223.750000
0.037664;0.374383;-226.762500
0.036951;0.372664;-229.875000
0.035283;0.370965;-232.900000
0.034294;0.369266;-235.850000
0.033456;0.367547;-238.800000
0.032047;0.365848;-241.725000
0.031673;0.364129;-244.587500
0.030029;0.362471;-247.487500
0.028250;0.360895;-250.375000
0.027789;0.359319;-253.225000
0.026666;0.357764;-256.125000
0.025895;0.356208;-259.062500
0.024506;0.354694;-262.000000
0.025217;0.353097;-264.937500
0.023829;0.351542;-267.875000
0.022408;0.350027;-270.800000
0.022362;0.348471;-273.737500
0.020821;0.346977;-276.675000
0.021552;0.345381;-279.700000
0.020332;0.343825;-282.762500
0.019362;0.342290;-285.787500
0.019814;0.340653;-288.950000
0.018565;0.339056;-292.237500
0.018603;0.337399;-295.475000
0.017307;0.335802;-298.562500
0.015501;0.334349;-301.300000
0.015133;0.332916;-303.875000
0.016019;0.331361;-306.712500
0.015128;0.329846;-309.762500
0.014436;0.328372;-312.750000
0.013233;0.327022;-315.500000
0.013158;0.325671;-318.237500
0.012434;0.324381;-320.875000
0.012547;0.323071;-323.450000
0.012383;0.321761;-326.150000
0.012209;0.320452;-328.887500
0.011989;0.319142;-331.625000
0.011385;0.317873;-334.312500
0.011549;0.316563;-337.000000
0.011340;0.315253;-339.700000
0.010770;0.313984;-342.475000
0.010362;0.312735;-345.287500
0.010617;0.311425;-348.125000
0.009942;0.310177;-350.912500
0.009931;0.308908;-353.625000
0.010411;0.307537;-356.575000
0.009766;0.306206;-359.812500
0.009646;0.304855;-362.900000
0.009832;0.303443;-365.762500
0.009329;0.302072;-368.600000
0.009907;0.300578;-371.562500
0.009495;0.299104;-374.487500
0.009368;0.297610;-377.325000
0.009235;0.296095;-380.512500
0.008963;0.294581;-384.025000
0.008466;0.293107;-387.575000
0.008142;0.291654;-391.025000
0.007718;0.290242;-394.362500
0.007318;0.288870;-397.637500
0.007288;0.287478;-400.875000
0.006628;0.286189;-404.062500
0.006925;0.284818;-407.237500
0.006583;0.283487;-410.425000
0.006344;0.282177;-413.625000
0.006406;0.280827;-416.875000
0.006458;0.279435;-420.175000
0.005957;0.278125;-423.475000
0.006016;0.276774;-426.775000
0.005710;0.275464;-430.100000
0.005592;0.274154;-433.400000
0.005473;0.272844;-436.700000
0.005518;0.271493;-440.087500
0.005317;0.270163;-443.450000
0.005133;0.268853;-446.737500
0.005039;0.267543;-449.900000
0.004867;0.266254;-453.012500
0.004771;0.264964;-456.212500
0.004763;0.263654;-459.450000
0.004397;0.262426;-462.687500
0.004260;0.261219;-465.812500
0.004414;0.259950;-468.875000
0.003997;0.258783;-471.975000
0.004076;0.257576;-475.075000
0.004084;0.256347;-478.200000
0.003754;0.255201;-481.375000
0.003962;0.253973;-484.575000
0.003768;0.252786;-487.750000
0.003768;0.251579;-490.987500
0.003582;0.250412;-494.275000
0.003707;0.249184;-497.575000
0.003587;0.247976;-500.937500
0.003589;0.246748;-504.350000
0.003580;0.245500;-507.837500
0.003452;0.244272;-511.325000
0.003387;0.243044;-514.762500
0.003428;0.241775;-518.275000
0.003415;0.240485;-521.775000
0.003201;0.239257;-525.187500
0.002995;0.238090;-528.425000
0.002897;0.236944;-531.575000
0.002754;0.235839;-534.800000
0.002867;0.234672;-538.000000
0.002782;0.233526;-541.175000
0.002648;0.232421;-544.375000
0.002658;0.231295;-547.637500
0.002715;0.230129;-550.950000
0.002678;0.228962;-554.300000
0.002592;0.227816;-557.650000
0.002646;0.226629;-561.012500
0.002564;0.225462;-564.412500
0.002482;0.224316;-567.875000
0.002488;0.223149;-571.262500
0.002408;0.222003;-574.700000
0.002375;0.220857;-578.250000
0.002260;0.219752;-581.737500
0.002269;0.218626;-585.312500
0.002236;0.217500;-588.875000
0.002164;0.216395;-592.350000
0.002172;0.215269;-596.112500
0.002181;0.214123;-599.675000
0.002041;0.213038;-602.587500
0.002206;0.211851;-605.450000
0.002171;0.210664;-608.550000
0.002180;0.209457;-611.525000
0.002190;0.208228;-614.600000
0.002197;0.206980;-617.962500
0.002204;0.205711;-621.562500
0.002207;0.204422;-625.587500
0.002211;0.203112;-629.687500
0.002078;0.201863;-633.625000
0.002018;0.200635;-637.400000
0.001992;0.199407;-641.187500
0.001999;0.198158;-645.037500
0.001910;0.196951;-648.750000
0.001857;0.195764;-652.375000
0.001840;0.194577;-656.025000
0.001856;0.193369;-659.612500
0.001715;0.192243;-663.287500
0.001792;0.191056;-666.950000
0.001686;0.189931;-670.387500
0.001645;0.188825;-673.737500
0.001607;0.187741;-677.062500
0.001719;0.186574;-680.562500
0.001622;0.185469;-683.625000
