Sample;PlotNo;Erosion;Time;Rate;Cumrate
1;1lP3;E1;1;1;1
2;1lP3;E1;2;3;4
3;1lP3;E1;3;2.2;6.2
4;1lP3;E1;4;2.2;8.4
5;1lP3;E1;5;2.1;10.5
6;1lP3;E1;6;2.1;12.6
7;1lP3;E1;7;1.1;13.7
8;1lP3;E1;8;1.1;14.8
9;1lP3;E1;9;1.1;15.9
10;1lP3;E1;10;1;16.9
11;1lP3;E1;11;1;17.9
12;1lP3;E1;12;0.9;18.8
13;1lP3;E1;13;0.8;19.6
14;1lP3;E1;14;0.7;20.3
15;1lP3;E1;15;0.7;21
16;1lP3;E1;16;0.7;21.7
17;1lP3;E1;17;0.8;22.5
18;1lP3;E1;18;0.7;23.2
19;1lP3;E1;19;0.6;23.8
20;1lP3;E1;20;0.6;24.4
21;1lP3;E1;22;0.9;25.3
22;1lP3;E1;24;0.95;26.25
23;1lP3;E1;26;0.65;26.9
24;1lP3;E1;28;0.7;27.6
25;1lP3;E1;30;0.8;28.4
26;1lP3;E1;32;0.55;28.95
27;1lP3;E1;34;0.55;29.5
28;1lP3;E1;36;0.5;30
29;1lP3;E1;38;0.8;30.8
30;1lP3;E1;40;0.5;31.3
31;1lP3;E1;42;0.65;31.95
32;1lP3;E1;44;0.55;32.5
33;1lP3;E1;46;0.55;33.05
34;2lP3;E1;2;0.3;0.3
35;2lP3;E1;4;0.25;0.55
36;2lP3;E1;6;0.2;0.75
37;2lP3;E1;8;0.2;0.95
38;2lP3;E1;10;0.15;1.1
39;2lP3;E1;12;0.1;1.2
40;2lP3;E1;14;0.05;1.25
41;2lP3;E1;16;0.05;1.3
42;2lP3;E1;18;0.1;1.4
43;2lP3;E1;20;0.05;1.45
44;2lP3;E1;22;0.05;1.5
45;2lP3;E1;26;0.075;1.575
46;2lP3;E1;30;0.075;1.65
47;2lP3;E1;34;0.05;1.7
48;2lP3;E1;38;0.05;1.75
49;2lP3;E1;42;0.05;1.8
50;2lP3;E1;46;0.05;1.85
51;2lP3;E1;50;0.05;1.9
52;2lP3;E1;54;0.05;1.95
53;3lP3;E0;1;0.5;0.5
54;3lP3;E0;2;0.5;1
55;3lP3;E0;3;0.2;1.2
56;3lP3;E0;4;0.2;1.4
57;3lP3;E0;5;0.2;1.6
58;3lP3;E0;6;0.2;1.8
59;3lP3;E0;7;0.2;2
60;3lP3;E0;8;0.2;2.2
61;3lP3;E0;9;0.2;2.4
62;3lP3;E0;10;0.2;2.6
63;3lP3;E0;11;0.2;2.8
64;3lP3;E0;12;0.2;3
65;3lP3;E0;13;0.1;3.1
66;3lP3;E0;14;0.1;3.2
67;3lP3;E0;15;0.1;3.3
68;3lP3;E0;17;0.15;3.45
69;3lP3;E0;19;0.25;3.7
70;3lP3;E0;21;0.1;3.8
71;3lP3;E0;23;0.1;3.9
72;3lP3;E0;25;0.1;4
73;3lP3;E0;27;0.15;4.15
74;3lP3;E0;29;0.15;4.3
75;3lP3;E0;31;0.1;4.4
76;3lP3;E0;33;0.1;4.5
77;3lP3;E0;35;0.1;4.6
78;3lP3;E0;37;0.1;4.7
79;3lP3;E0;39;0.1;4.8
80;3lP3;E0;41;0.1;4.9
81;3lP3;E0;43;0.05;4.95
82;3lP3;E0;45;0.05;5
83;3lP3;E0;47;0.1;5.1
84;3lP3;E0;49;0.1;5.2
85;3lP3;E0;51;0.05;5.25
86;3lP3;E0;53;0.1;5.35
87;3lP3;E0;55;0.1;5.45
88;3lP3;E0;57;0.1;5.55
89;3lP3;E0;59;0.1;5.65
90;3lP3;E0;61;0.05;5.7
91;3lP3;E0;63;0.05;5.75
92;3lP3;E0;65;0.05;5.8
93;3lP3;E0;67;0.1;5.9
94;3lP3;E0;69;0.05;5.95
95;3lP3;E0;71;0.05;6
96;3lP3;E0;73;0.05;6.05
97;3lP3;E0;75;0.05;6.1
98;4lP3;E0;1;2.5;2.5
99;4lP3;E0;2;3;5.5
100;4lP3;E0;3;4;9.5
101;4lP3;E0;4;2;11.5
102;4lP3;E0;5;2.7;14.2
103;4lP3;E0;6;2.1;16.3
104;4lP3;E0;7;3.2;19.5
105;4lP3;E0;8;1.9;21.4
106;4lP3;E0;9;2.1;23.5
107;4lP3;E0;10;2.3;25.8
108;4lP3;E0;11;2.2;28
109;4lP3;E0;12;2.9;30.9
110;4lP3;E0;13;1.3;32.2
111;4lP3;E0;14;1.7;33.9
112;4lP3;E0;15;1.6;35.5
113;4lP3;E0;16;1.4;36.9
114;4lP3;E0;17;1.7;38.6
115;4lP3;E0;18;1.9;40.5
116;4lP3;E0;19;1.8;42.3
117;4lP3;E0;20;1.9;44.2
118;4lP3;E0;22;1.3;45.5
119;4lP3;E0;24;1.4;46.9
120;4lP3;E0;26;1.3;48.2
121;4lP3;E0;28;1.3;49.5
122;4lP3;E0;30;1.3;50.8
123;4lP3;E0;32;1.45;52.25
124;4lP3;E0;34;1.25;53.5
125;4lP3;E0;36;1.2;54.7
126;4lP3;E0;38;1.2;55.9
127;4lP3;E0;40;1.2;57.1
128;4lP3;E0;42;1.2;58.3
129;4lP3;E0;44;1;59.3
130;4lP3;E0;46;1.15;60.45
131;4lP3;E0;48;1.15;61.6
132;4lP3;E0;50;0.75;62.35
133;4lP3;E0;52;0.95;63.3
134;4lP3;E0;54;0.9;64.2
135;4lP3;E0;56;0.9;65.1
136;4lP3;E0;58;0.9;66
137;4lP3;E0;60;0.85;66.85
138;5lP3;E2;1;0.5;0.5
139;5lP3;E2;2;0.7;1.2
140;5lP3;E2;3;0.8;2
141;5lP3;E2;4;0.7;2.7
142;5lP3;E2;5;0.6;3.3
143;5lP3;E2;6;0.7;4
144;5lP3;E2;7;0.7;4.7
145;5lP3;E2;8;0.2;4.9
146;5lP3;E2;9;0.5;5.4
147;5lP3;E2;10;0.5;5.9
148;5lP3;E2;11;0.6;6.5
149;5lP3;E2;12;0.4;6.9
150;5lP3;E2;13;0.3;7.2
151;5lP3;E2;14;0.5;7.7
152;5lP3;E2;15;0.4;8.1
153;5lP3;E2;16;0.4;8.5
154;5lP3;E2;17;0.5;9
155;5lP3;E2;18;0.5;9.5
156;5lP3;E2;19;0.2;9.7
157;5lP3;E2;20;0.3;10
158;5lP3;E2;21;0.2;10.2
159;5lP3;E2;22;0.4;10.6
160;5lP3;E2;23;0.6;11.2
161;5lP3;E2;24;0.3;11.5
162;5lP3;E2;25;0.4;11.9
163;5lP3;E2;26;0.4;12.3
164;5lP3;E2;27;0.2;12.5
165;5lP3;E2;28;0.2;12.7
166;5lP3;E2;29;0.5;13.2
167;5lP3;E2;30;0.3;13.5
168;5lP3;E2;31;0.3;13.8
169;5lP3;E2;32;0.3;14.1
170;5lP3;E2;33;0.4;14.5
171;5lP3;E2;35;0.3;14.8
172;5lP3;E2;37;0.45;15.25
173;5lP3;E2;39;0.4;15.65
174;5lP3;E2;41;0.9;16.55
175;5lP3;E2;43;0.45;17
176;5lP3;E2;45;0.3;17.3
177;5lP3;E2;47;0.45;17.75
178;5lP3;E2;49;0.3;18.05
