pot;um;rp;dp
20;0.43;0.23;1.35
20;0.41;1.16;1.53
20;0.45;0.2;1.36
20;0.43;0.38;1.46
20;0.4;0.42;1.53
20;0.43;0.37;1.44
20;0.41;1.03;1.47
20;0.4;1.16;1.56
50;0.42;0.85;1.43
50;0.45;0.59;1.37
50;0.45;0.6;1.35
50;0.4;0.43;1.42
50;0.42;1.76;1.45
50;0.42;0.64;1.45
50;0.39;0.85;1.35
50;0.4;1.38;1.58
80;0.36;0.5;1.51
80;0.4;0.88;1.53
80;0.42;1.61;1.49
80;0.36;1.29;1.53
80;0.38;0.55;1.48
80;0.39;1.5;1.46
80;0.36;0.72;1.36
80;0.4;1.36;1.5
100;0.37;1.34;1.6
100;0.38;1.09;1.47
100;0.38;0.59;1.33
100;0.37;1.31;1.54
100;0.34;2.45;1.56
100;0.37;2.12;1.65
100;0.37;1.95;1.55
100;0.36;1.16;1.45
330;0.31;2.13;1.54
330;0.33;1.31;1.43
330;0.36;1.33;1.42
330;0.35;0.99;1.46
330;0.3;1.37;1.48
330;0.35;1.59;1.49
330;0.35;0.72;1.35
330;0.32;2.99;1.6
1000;0.32;0.61;1.43
1000;0.31;2.14;1.51
1000;0.36;1.95;1.4
1000;0.31;1.31;1.46
1000;0.31;1.19;1.45
1000;0.33;1.04;1.48
1000;0.33;1.81;1.48
1000;0.31;1.37;1.41
5000;0.25;2.27;1.53
5000;0.27;2.71;1.41
5000;0.31;1.95;1.27
5000;0.29;4.64;1.52
5000;0.25;2.48;1.4
5000;0.25;1.33;1.28
5000;0.31;3.49;1.48
5000;0.31;2.18;1.51
15000;0.25;3.93;1.6
15000;0.2;3.61;1.47
15000;0.26;2.04;1.34
15000;0.27;3.68;1.54
15000;0.19;4.33;1.63
15000;0.25;2.49;1.47
15000;0.23;2.52;1.38
15000;0.23;3.94;1.58
